world,class,operation,passed,shortest_witness
16,admissible,full_iso,1,
16,mutation,metric,1,exists_metric_le=1.25
16,mutation,edge_type,1,out_edge_type=G
16,mutation,boundary,1,boundary=open
16,mutation,warrant,1,warrant=definition
16,mutation,continuation,1,continuation=0
16,mutation,role,1,role=participant
17,admissible,rename,1,
17,admissible,rigid_isometry,1,
17,admissible,edge_order,1,
17,admissible,full_iso,1,
17,mutation,metric,1,out_edge_type=G
17,mutation,edge_type,1,out_edge_type=G
17,mutation,boundary,1,boundary=open
17,mutation,warrant,1,warrant=definition
17,mutation,continuation,1,continuation=0
17,mutation,role,1,role=participant
18,admissible,rename,1,
18,admissible,rigid_isometry,1,
18,admissible,edge_order,1,
18,admissible,full_iso,1,
18,mutation,metric,1,exists_metric_le=2.0
18,mutation,edge_type,1,out_edge_type=G
18,mutation,boundary,1,boundary=open
18,mutation,warrant,1,warrant=definition
18,mutation,continuation,1,continuation=0
18,mutation,role,1,role=participant
19,admissible,rename,1,
19,admissible,rigid_isometry,1,
19,admissible,edge_order,1,
19,admissible,full_iso,1,
19,mutation,metric,1,out_edge_type=G
19,mutation,edge_type,1,out_edge_type=G
19,mutation,boundary,1,boundary=open
19,mutation,warrant,1,warrant=definition
19,mutation,continuation,1,continuation=0
19,mutation,role,1,role=participant
20,admissible,rename,1,
20,admissible,rigid_isometry,1,
20,admissible,edge_order,1,
20,admissible,full_iso,1,
20,mutation,metric,1,out_edge_type=G
20,mutation,edge_type,1,out_edge_type=G
20,mutation,boundary,1,boundary=open
20,mutation,warrant,1,warrant=definition
20,mutation,continuation,1,continuation=0
20,mutation,role,1,role=participant
21,admissible,rename,1,
21,admissible,rigid_isometry,1,
21,admissible,edge_order,1,
21,admissible,full_iso,1,
21,mutation,metric,1,out_edge_type=G
21,mutation,edge_type,1,out_edge_type=G
21,mutation,boundary,1,boundary=open
21,mutation,warrant,1,warrant=definition
21,mutation,continuation,1,continuation=0
21,mutation,role,1,role=participant
22,admissible,rename,1,
22,admissible,rigid_isometry,1,
22,admissible,edge_order,1,
22,admissible,full_iso,1,
22,mutation,metric,1,exists_metric_le=1.25
22,mutation,edge_type,1,out_edge_type=G
22,mutation,boundary,1,boundary=open
22,mutation,warrant,1,warrant=definition
22,mutation,continuation,1,continuation=0
22,mutation,role,1,role=participant
23,admissible,rename,1,
23,admissible,rigid_isometry,1,
23,admissible,edge_order,1,
23,admissible,full_iso,1,
23,mutation,metric,1,exists_metric_le=1.25
23,mutation,edge_type,1,out_edge_type=G
23,mutation,boundary,1,boundary=open
23,mutation,warrant,1,warrant=definition
23,mutation,continuation,1,continuation=0
23,mutation,role,1,role=participant
24,admissible,rename,1,
24,admissible,rigid_isometry,1,
24,admissible,edge_order,1,
24,admissible,full_iso,1,
24,mutation,metric,1,exists_metric_le=2.0
24,mutation,edge_type,1,out_edge_type=G
24,mutation,boundary,1,boundary=open
24,mutation,warrant,1,warrant=definition
24,mutation,continuation,1,continuation=0
24,mutation,role,1,role=participant
25,admissible,rename,1,
25,admissible,rigid_isometry,1,
25,admissible,edge_order,1,
25,admissible,full_iso,1,
25,mutation,metric,1,out_edge_type=G
25,mutation,edge_type,1,out_edge_type=G
