K,rho,system_survival_mc,branch_survival_mc,branch_survival_formula,independent_system_formula
1,0.0,0.006166666666666667,0.006166666666666667,0.006464643586620846,0.0064646435866208
1,0.25,0.005166666666666667,0.005166666666666667,0.006464643586620846,0.0064646435866208
1,0.5,0.005833333333333334,0.005833333333333334,0.006464643586620846,0.0064646435866208
1,0.75,0.006833333333333334,0.006833333333333334,0.006464643586620846,0.0064646435866208
1,1.0,0.006583333333333333,0.006583333333333333,0.006464643586620846,0.0064646435866208
2,0.0,0.013416666666666667,0.0067083333333333335,0.006464643586620846,0.012887495556539563
2,0.25,0.014583333333333334,0.007375,0.006464643586620846,0.012887495556539563
2,0.5,0.0115,0.005916666666666666,0.006464643586620846,0.012887495556539563
2,0.75,0.010083333333333333,0.005583333333333333,0.006464643586620846,0.012887495556539563
2,1.0,0.006083333333333333,0.006083333333333333,0.006464643586620846,0.012887495556539563
4,0.0,0.025333333333333333,0.006458333333333333,0.006464643586620846,0.025608903571359254
4,0.25,0.024083333333333335,0.006166666666666667,0.006464643586620846,0.025608903571359254
4,0.5,0.022416666666666668,0.0063125,0.006464643586620846,0.025608903571359254
4,0.75,0.0165,0.006375,0.006464643586620846,0.025608903571359254
4,1.0,0.0069166666666666664,0.0069166666666666664,0.006464643586620846,0.025608903571359254
8,0.0,0.04566666666666667,0.005802083333333334,0.006464643586620846,0.05056199120059146
8,0.25,0.04758333333333333,0.006510416666666667,0.006464643586620846,0.05056199120059146
8,0.5,0.03916666666666667,0.006416666666666667,0.006464643586620846,0.05056199120059146
8,0.75,0.022583333333333334,0.0070416666666666666,0.006464643586620846,0.05056199120059146
8,1.0,0.00575,0.00575,0.006464643586620846,0.05056199120059146
16,0.0,0.09775,0.006369791666666667,0.006464643586620846,0.09856746744701417
16,0.25,0.08766666666666667,0.006546875,0.006464643586620846,0.09856746744701417
16,0.5,0.057,0.006203125,0.006464643586620846,0.09856746744701417
16,0.75,0.02033333333333333,0.005682291666666667,0.006464643586620846,0.09856746744701417
16,1.0,0.004333333333333333,0.004333333333333333,0.006464643586620846,0.09856746744701417
