alpha,summability_class,survival_H,cumulative_hazard,survival_prefix
0.7,non-summable,0.007916438292090227,4.816081037105145,"[0.27751314239447483, 0.10331441166256723, 0.056893363529953625, 0.007916438292090227]"
1.0,non-summable,0.33156302573311325,1.0913410623581323,"[0.5299294606282847, 0.43704366590415133, 0.40218341080071984, 0.33156302573311325]"
1.3,summable,0.6370870701301999,0.44076285314765395,"[0.6827734894609111, 0.6570851804751139, 0.649488293545535, 0.6370870701301999]"
1.8,summable,0.7910553649954905,0.22570278327277826,"[0.7938988092691972, 0.7917471409387549, 0.7913972943242538, 0.7910553649954905]"
