world,complete_max_regret,open_max_regret,aggregate_max_regret,complete_mean_regret,open_mean_regret,aggregate_mean_regret
0,0.0,0.08627538711280569,3.647645176069797,0.0,0.0039693498454901055,1.2114116499155105
1,0.0,0.1683806059169466,3.0671384245309836,0.0,0.007015858579872775,1.2462648093773832
2,0.05680625698309949,0.5962240329020082,3.991079656433965,0.00577806628727183,0.027788045156723437,1.1142392653975774
3,0.017710516824243516,0.7959258590597535,4.613404673414783,0.0007379382010101465,0.04110926371155828,1.5957378486330278
4,0.0,0.0,4.178518096777168,0.0,0.0,1.4297280365590084
5,0.08167264670594543,0.08167264670594543,3.303478282171959,0.004147036359057693,0.004147036359057693,1.3876355329724663
6,0.08182222894102076,0.055561380217029166,4.314264989822531,0.003409259539209198,0.004417550194617453,1.4769749411464446
7,0.04129271268789725,1.0170508083011367,4.031161649631003,0.001720529695329052,0.09147859227680773,1.1615157572748258
8,0.009698784199471455,1.1599743757231358,4.363658733197802,0.0004041160083113106,0.04873638166344196,1.3928911667278374
9,0.06028704850492694,0.0,3.40605401181752,0.002511960354371956,0.0,1.303908126222291
10,0.0,0.0,4.222904698120867,0.0,0.0,1.787199634553568
11,0.019548042018543654,0.4732050528119198,3.8400565229000017,0.0009696657171862447,0.020686542917682904,1.3282206527129983
12,0.01329037216381801,0.9279456984324697,4.203912691513148,0.0005537655068257504,0.03921816960817865,1.6884247530787082
13,0.11130054173801429,0.11130054173801429,3.309691788473047,0.004981813529913351,0.006036937629425459,1.061053707311545
14,0.05482094394659487,0.05482094394659487,3.1097615905476323,0.002284205997774786,0.002284205997774786,1.5472035372223907
15,0.0,0.0,5.19069535291894,0.0,0.0,1.4601181379309258
16,0.0,0.4406209132970629,2.4775210776231837,0.0,0.018359204720710953,1.0711251258678078
17,0.037201420075807956,0.21259561166464835,3.7193050610690164,0.001681292709164094,0.010666944037389672,1.3867909603510202
18,0.0800255642065959,0.0,3.3377314814730923,0.0033343985086081627,0.0,1.3814731650723424
19,0.0,0.8202601388671633,3.226216956070325,0.0,0.0341775057861318,1.4688622316331468
20,0.03546044086804545,0.13749256217062267,3.7263237308287316,0.002035722170416245,0.007206375126611171,1.4370764342318416
21,0.054281610619877574,0.6591043806769652,3.5599194397283433,0.002261733775828232,0.056692398559538865,1.3820662726102915
22,0.014577864627702941,0.9106278810139028,4.629972869653862,0.0006074110261542892,0.048077885474723414,1.3968412351874997
23,0.0,0.9305653422035469,3.210975157271852,0.0,0.039980729366480776,1.3353877945255317
24,0.015114056272122256,0.1697617006392932,2.872703352868988,0.0006297523446717607,0.011871407596030703,1.1490309846266975
25,0.034034518887868126,0.5417509740398859,3.310450642083503,0.0014181049536611718,0.023991062205323085,1.379013642280898
26,0.017517662378929266,0.017517662378929266,3.5692653714226013,0.0008072884863670795,0.0007299025991220528,1.467519444455928
27,0.0,0.11467899467170728,2.967448943131063,0.0,0.00477829144465447,1.2503473931339404
28,0.101303485126091,0.026870877124567705,4.7681320837591326,0.005340598427110779,0.001119619880190321,1.3482897432741117
29,0.02165975196605674,0.4192953675968269,3.825207173115075,0.0009024896652523642,0.018373129981786817,1.4888370263575974
30,0.06054579545662242,1.1202417421993347,2.651726873060645,0.0048293025728272,0.06387002958675911,1.1718229683667012
31,0.0,0.0,3.5672259846745,0.0,0.0,1.4476384889082488
32,0.015930858415813987,0.1331401827646832,3.5024831278146675,0.0006637857673255828,0.005547507615195134,1.3430241553260818
33,0.05494909259031533,1.0539100032017783,2.902606297630839,0.002289545524596472,0.11894729617966082,1.007493870125181
34,0.0,0.1476005394449984,2.4645670207600907,0.0,0.006150022476874933,1.1976423801036795
35,0.051056121393112,0.051056121393112,4.038052886852637,0.0021273383913796664,0.0021273383913796664,1.5070922366261899
36,0.0,0.09558037247460383,3.643908542666681,0.0,0.003982515519775159,1.1266506274147172
37,0.05069298012019796,0.05069298012019796,5.229420498334815,0.0021122075050082484,0.0021122075050082484,1.57129590940837
38,0.1254330858924654,0.38868031325579167,3.683454315365903,0.005258614274959126,0.036389724225191926,1.445910117601587
39,0.0982554974258657,0.0982554974258657,5.672472479771459,0.006652654519361885,0.004093979059411071,1.6673314240999553
40,0.0,1.090433219872159,3.6456204258262503,0.0,0.04543471749467329,1.4940360960724732
41,0.06282203832376765,0.49625867962468007,4.9058502339844745,0.005324928733885026,0.026002373718246697,1.377157201645926
42,0.07297763469207408,0.035595967652218174,4.281098600005908,0.00304073477883642,0.0014831653188424239,1.1405420745364456
43,0.05531539665465668,0.05531539665465668,3.4747933626822345,0.004447973358470574,0.002304808193944028,1.471703637694465
44,0.031973283691622445,0.031973283691622445,4.715165971702438,0.001332220153817602,0.001332220153817602,1.169347228911899
45,0.0,0.08930762394174696,3.932041264667671,0.0,0.00372115099757279,1.3749781146975433
