world,holonomy_iso_gauge,typed_cycle_iso,closure_iso,path_association,transport_mutation_detected,edge_type_mutation_detected,metric_mutation_detected,direct_graph_bytes,worldsheet_cycle_bytes
359,1,1,1,1,1,1,1,1170,390
360,1,1,1,1,1,1,1,1114,325
361,1,1,1,1,1,1,1,691,251
362,1,1,1,1,1,1,1,1102,359
363,1,1,1,1,1,1,1,520,234
364,1,1,1,1,1,1,1,674,252
365,1,1,1,1,1,1,1,555,231
366,1,1,1,1,1,1,1,759,321
367,1,1,1,1,1,1,1,1026,368
368,1,1,1,1,1,1,1,880,347
369,1,1,1,1,1,1,1,482,234
370,1,1,1,1,1,1,1,691,263
371,1,1,1,1,1,1,1,574,272
372,1,1,1,1,1,1,1,1183,395
373,1,1,1,1,1,1,1,1010,366
374,1,1,1,1,1,1,1,1189,402
375,1,1,1,1,1,1,1,672,275
376,1,1,1,1,1,1,1,679,308
377,1,1,1,1,1,1,1,746,312
378,1,1,1,1,1,1,1,1022,346
379,1,1,1,1,1,1,1,689,303
380,1,1,1,1,1,1,1,1208,416
381,1,1,1,1,1,1,1,672,284
382,1,1,1,1,1,1,1,985,334
383,1,1,1,1,1,1,1,1083,376
384,1,1,1,1,1,1,1,967,360
385,1,1,1,1,1,1,1,1207,414
386,1,1,1,1,1,1,1,1168,396
387,1,1,1,1,1,1,1,1043,402
388,1,1,1,1,1,1,1,802,311
389,1,1,1,1,1,1,1,997,359
390,1,1,1,1,1,1,1,1205,411
391,1,1,1,1,1,1,1,855,306
392,1,1,1,1,1,1,1,616,260
393,1,1,1,1,1,1,1,611,258
394,1,1,1,1,1,1,1,733,301
395,1,1,1,1,1,1,1,742,305
396,1,1,1,1,1,1,1,596,239
397,1,1,1,1,1,1,1,601,246
398,1,1,1,1,1,1,1,796,297
399,1,1,1,1,1,1,1,543,234
400,1,1,1,1,1,1,1,825,328
401,1,1,1,1,1,1,1,761,308
402,1,1,1,1,1,1,1,650,282
403,1,1,1,1,1,1,1,647,249
404,1,1,1,1,1,1,1,816,310
405,1,1,1,1,1,1,1,572,244
406,1,1,1,1,1,1,1,704,276
407,1,1,1,1,1,1,1,932,347
408,1,1,1,1,1,1,1,1134,399
409,1,1,1,1,1,1,1,1184,410
410,1,1,1,1,1,1,1,826,263
411,1,1,1,1,1,1,1,1070,358
412,1,1,1,1,1,1,1,725,286
413,1,1,1,1,1,1,1,1113,390
414,1,1,1,1,1,1,1,1108,365
415,1,1,1,1,1,1,1,913,351
416,1,1,1,1,1,1,1,971,354
417,1,1,1,1,1,1,1,1156,411
418,1,1,1,1,1,1,1,1011,339
419,1,1,1,1,1,1,1,1152,410
420,1,1,1,1,1,1,1,680,280
421,1,1,1,1,1,1,1,1073,363
422,1,1,1,1,1,1,1,1017,413
423,1,1,1,1,1,1,1,561,241
424,1,1,1,1,1,1,1,865,350
425,1,1,1,1,1,1,1,995,387
426,1,1,1,1,1,1,1,942,348
427,1,1,1,1,1,1,1,928,372
428,1,1,1,1,1,1,1,837,336
429,1,1,1,1,1,1,1,879,318
430,1,1,1,1,1,1,1,986,367
431,1,1,1,1,1,1,1,945,307
432,1,1,1,1,1,1,1,638,260
433,1,1,1,1,1,1,1,1003,375
434,1,1,1,1,1,1,1,1133,385
435,1,1,1,1,1,1,1,572,243
436,1,1,1,1,1,1,1,1130,410
437,1,1,1,1,1,1,1,764,284
438,1,1,1,1,1,1,1,771,284
439,1,1,1,1,1,1,1,510,237
440,1,1,1,1,1,1,1,803,299
441,1,1,1,1,1,1,1,893,335
442,1,1,1,1,1,1,1,1135,391
443,1,1,1,1,1,1,1,587,264
444,1,1,1,1,1,1,1,549,232
445,1,1,1,1,1,1,1,951,341
446,1,1,1,1,1,1,1,764,322
447,1,1,1,1,1,1,1,671,293
448,1,1,1,1,1,1,1,927,345
449,1,1,1,1,1,1,1,688,296
450,1,1,1,1,1,1,1,693,293
451,1,1,1,1,1,1,1,696,297
452,1,1,1,1,1,1,1,776,315
453,1,1,1,1,1,1,1,631,264
454,1,1,1,1,1,1,1,675,256
455,1,1,1,1,1,1,1,804,296
456,1,1,1,1,1,1,1,549,268
457,1,1,1,1,1,1,1,1275,398
458,1,1,1,1,1,1,1,883,336
459,1,1,1,1,1,1,1,954,385
460,1,1,1,1,1,1,1,510,228
461,1,1,1,1,1,1,1,1200,418
462,1,1,1,1,1,1,1,1032,360
463,1,1,1,1,1,1,1,1096,395
464,1,1,1,1,1,1,1,492,240
465,1,1,1,1,1,1,1,499,231
466,1,1,1,1,1,1,1,675,268
467,1,1,1,1,1,1,1,935,344
468,1,1,1,1,1,1,1,667,289
469,1,1,1,1,1,1,1,945,375
470,1,1,1,1,1,1,1,1157,389
471,1,1,1,1,1,1,1,1139,391
472,1,1,1,1,1,1,1,838,294
473,1,1,1,1,1,1,1,1072,373
474,1,1,1,1,1,1,1,790,315
475,1,1,1,1,1,1,1,993,345
476,1,1,1,1,1,1,1,673,294
477,1,1,1,1,1,1,1,905,330
478,1,1,1,1,1,1,1,984,395
479,1,1,1,1,1,1,1,553,229
480,1,1,1,1,1,1,1,761,323
481,1,1,1,1,1,1,1,824,292
482,1,1,1,1,1,1,1,1010,361
483,1,1,1,1,1,1,1,523,233
484,1,1,1,1,1,1,1,1141,396
485,1,1,1,1,1,1,1,867,310
486,1,1,1,1,1,1,1,669,289
487,1,1,1,1,1,1,1,960,356
488,1,1,1,1,1,1,1,1192,401
489,1,1,1,1,1,1,1,439,220
490,1,1,1,1,1,1,1,449,224
491,1,1,1,1,1,1,1,848,367
492,1,1,1,1,1,1,1,805,322
493,1,1,1,1,1,1,1,924,326
494,1,1,1,1,1,1,1,594,257
495,1,1,1,1,1,1,1,653,282
496,1,1,1,1,1,1,1,823,311
497,1,1,1,1,1,1,1,909,350
498,1,1,1,1,1,1,1,1045,378
499,1,1,1,1,1,1,1,1008,388
500,1,1,1,1,1,1,1,1200,397
501,1,1,1,1,1,1,1,741,274
502,1,1,1,1,1,1,1,544,237
503,1,1,1,1,1,1,1,616,261
504,1,1,1,1,1,1,1,729,288
505,1,1,1,1,1,1,1,489,226
506,1,1,1,1,1,1,1,844,302
507,1,1,1,1,1,1,1,894,348
508,1,1,1,1,1,1,1,1179,386
509,1,1,1,1,1,1,1,884,345
510,1,1,1,1,1,1,1,1084,361
511,1,1,1,1,1,1,1,631,258
512,1,1,1,1,1,1,1,624,260
513,1,1,1,1,1,1,1,827,299
514,1,1,1,1,1,1,1,774,305
515,1,1,1,1,1,1,1,989,351
516,1,1,1,1,1,1,1,717,327
517,1,1,1,1,1,1,1,975,358
518,1,1,1,1,1,1,1,565,234
519,1,1,1,1,1,1,1,527,246
520,1,1,1,1,1,1,1,606,261
521,1,1,1,1,1,1,1,574,237
522,1,1,1,1,1,1,1,512,226
523,1,1,1,1,1,1,1,960,350
524,1,1,1,1,1,1,1,828,338
525,1,1,1,1,1,1,1,622,259
526,1,1,1,1,1,1,1,623,276
527,1,1,1,1,1,1,1,754,306
528,1,1,1,1,1,1,1,518,227
529,1,1,1,1,1,1,1,1185,397
530,1,1,1,1,1,1,1,633,256
531,1,1,1,1,1,1,1,629,295
532,1,1,1,1,1,1,1,1008,352
533,1,1,1,1,1,1,1,723,305
534,1,1,1,1,1,1,1,1066,361
535,1,1,1,1,1,1,1,922,350
536,1,1,1,1,1,1,1,1179,385
537,1,1,1,1,1,1,1,892,345
538,1,1,1,1,1,1,1,894,334
539,1,1,1,1,1,1,1,810,342
540,1,1,1,1,1,1,1,635,265
541,1,1,1,1,1,1,1,1178,400
542,1,1,1,1,1,1,1,1020,381
543,1,1,1,1,1,1,1,972,336
544,1,1,1,1,1,1,1,1133,391
545,1,1,1,1,1,1,1,1086,390
546,1,1,1,1,1,1,1,732,296
547,1,1,1,1,1,1,1,513,234
548,1,1,1,1,1,1,1,894,330
549,1,1,1,1,1,1,1,824,327
